식당이름,서비스
파르코,"단체 이용 가능,포장,예약,무선 인터넷"
퍼프피자,"콜키지 가능,단체 이용 가능,포장,남/녀 화장실 구분,예약,대기공간,주차 불가"
평이담백뼈칼국수 성수점,"포장,남/녀 화장실 구분,무선 인터넷,단체 이용 가능,주차 가능(무료)"
포피나,"콜키지 가능,무선 인터넷,포장,배달,단체 이용 가능,예약,반려동물 동반,주차 불가"
프레고클럽,"콜키지 가능,단체 이용 가능,무선 인터넷,반려동물 동반,남/녀 화장실 구분,예약,주차 불가"
하노이102,"무선 인터넷,남/녀 화장실 구분,단체 이용 가능,반려동물 동반"
한양떡방앗간 성수,"포장,배달,무선 인터넷,주차 불가"
할머니의 레시피,
핵밥 성수본점,"남/녀 화장실 구분,주차 불가"
헤이든 성수점,"단체 이용 가능,예약,포장,무선 인터넷,반려동물 동반,노키즈존,주차 불가"
호감도,"무선 인터넷,단체 이용 가능,예약"
호보식당 성수직영점,"콜키지 가능,단체 이용 가능,무선 인터넷,남/녀 화장실 구분,예약,주차 가능(무료)"
호호식당 성수,"단체 이용 가능,예약,무선 인터넷,남/녀 화장실 구분,배달,포장,유아의자,주차 불가"
홍보석,"예약,단체 이용 가능,포장,주차 가능"
훈연,"무선 인터넷,주차 불가"
훼미리손칼국수보쌈,
